#
# TAYLOR DOME st9810 TIMESCALE AND 
# Quaternary Isotope Laboratory 20-CM RESOLUTION DELTA 18-O DATA 
#
#  Data Description:
#
#  The delta 18O values were determined at the Quaternary Isotope Laboratory
#  (M. Stuiver, Box 351360, University of Washington, Seattle WA 98195, USA).
#  The time scale (st9810) is a combined timescale from geophysical
#  measurements, gas-correation with the GISP2 layer-counted 
#  chronology (central Greenland), and interpolation using gas and 
#  10-Be control points.  Details are given in Steig et al., 1999.
#
#  All of the data in this file are from samples bottled at the
#  University of New Hampshire.  Samples are "residue" from the UNH
#  automated melting system, used as a prep. system for ion 
#  chromatography measurements.  All ice was sampled at the National
#  Ice Core Laboratory.
# 
#  Reference:
#
#  Steig EJ, Hart CP, White JWC, Cunningham WL, Davis MD & Saltzman ES.
#  Changes in climate, ocean and ice sheet conditions in the Ross
#  Embayment at 6 ka. Annals of Glaciology 27, 305-310 (1998).   
#
#  Steig EJ, Morse DL, Waddington ED, Stuiver M, Grootes PM. Wisconsinan
#  and Holocene climate history from an ice core at Taylor Dome, western 
#  Ross Embayment, Antarctica. Geografiska Annaler 82A: 213-235 (2000).
#
# Depth	Age (ka)	del18O
# (top, m)	(st9810)	per mil
135.73	2.3353	-40.23
135.84	2.3378	-39.36
135.94	2.3404	999999
136.05	2.3429	-40.26
136.15	2.3455	-40.01
136.26	2.348	999999
136.37	2.3506	-40.99
136.47	2.3532	-40.6
136.58	2.3557	999999
136.79	2.3609	-43.03
136.9	2.3635	999999
137	2.3661	-38.96
137.12	2.369	-38.41
137.21	2.3713	999999
137.32	2.3739	-41.02
137.43	2.3764	999999
137.64	2.3816	-39.99
137.74	2.3842	999999
137.96	2.3894	-40.71
138.06	2.392	-39.45
138.17	2.3945	999999
138.27	2.3971	-39.68
138.38	2.3997	999999
138.8	2.41	-40.61
138.91	2.4126	-39.72
139.01	2.4151	999999
139.12	2.4178	-39.86
139.22	2.4203	-41.69
139.33	2.4228	-41.11
139.43	2.4254	-39.5
139.54	2.428	-39.34
139.64	2.4305	999999
139.75	2.4331	-39.59
139.85	2.4356	999999
140.06	2.4408	-40.61
140.17	2.4433	-40.56
140.27	2.4459	-39.56
140.36	2.448	-38.74
140.48	2.451	-38.38
140.59	2.4536	-38.88
140.69	2.4561	-39.33
140.8	2.4587	-39.11
140.9	2.4613	-40.07
141.01	2.4638	-41.11
141.11	2.4664	999999
141.22	2.469	-42.55
141.32	2.4715	-42.28
141.43	2.474	-39.78
141.53	2.4766	-38.27
141.63	2.4791	-39.64
141.74	2.4816	-40.66
141.84	2.4842	-40.22
141.95	2.4868	999999
142.05	2.4894	-42.83
142.15	2.492	-42.15
142.26	2.4946	-41.87
142.36	2.4971	-41.47
142.46	2.4997	-39.21
142.57	2.5023	-39.9
142.67	2.5049	-41.93
142.78	2.5075	-42.12
142.88	2.5101	-39.28
142.99	2.5127	-38.26
143.09	2.5153	-39.54
143.19	2.5179	-39.82
143.3	2.5205	999999
143.4	2.5231	-41.44
143.51	2.5256	-41.93
143.61	2.5282	-41.62
143.71	2.5308	-42.11
143.82	2.5334	-41.53
143.92	2.536	-41.04
144.02	2.5386	-39.5
144.13	2.5412	-39.24
144.22	2.5435	-39.95
144.34	2.5464	-40.25
144.44	2.549	-39.28
144.54	2.5516	-40.12
144.65	2.5541	-40.59
144.75	2.5567	-39.86
144.86	2.5593	-38.7
144.96	2.5619	-40.67
145.07	2.5645	-40.43
145.16	2.567	-39.65
145.26	2.5695	999999
145.37	2.572	-39.75
145.46	2.5745	999999
145.57	2.577	-40.75
145.66	2.5795	-41.99
145.76	2.5819	-40.28
145.87	2.5844	-38.45
145.96	2.5869	-38.54
146.07	2.5894	-37.78
146.16	2.5919	-39.03
146.26	2.5944	-40.17
146.38	2.5974	-38.45
146.46	2.5994	-39.27
146.57	2.6019	-37.74
146.66	2.6044	-37.88
146.76	2.6069	-37.8
146.87	2.6093	-39.36
146.96	2.6118	-41.33
147.07	2.6143	-39.7
147.16	2.6168	-38.76
147.26	2.6193	-37.5
147.37	2.6218	-38.9
147.46	2.6243	-41.88
147.57	2.6269	-42.12
147.66	2.6294	999999
147.76	2.632	-40.56
147.87	2.6345	-38.59
147.96	2.637	-34.36
148.07	2.6396	-38.81
148.16	2.6421	-40.15
148.26	2.6447	999999
148.37	2.6472	-39.81
148.46	2.6497	-40.59
148.57	2.6523	-41.72
148.66	2.6548	-42.13
148.76	2.6573	-41.75
148.87	2.6599	-40.93
148.96	2.6624	-39.88
149.07	2.665	-40.57
149.16	2.6675	999999
149.26	2.67	-41.93
149.37	2.6726	-39.96
149.46	2.6751	-39.38
149.57	2.6776	-39.08
149.66	2.6802	-37.93
149.76	2.6827	-37.8
149.87	2.6853	-39.36
149.96	2.6878	-39.05
150.07	2.6903	-39.52
150.16	2.6929	-40.33
150.24	2.6947	999999
150.33	2.6971	-42.44
150.46	2.7005	-41.25
150.57	2.703	-41.41
150.66	2.7056	999999
150.76	2.7081	-42.86
150.87	2.7106	-40.47
150.96	2.7132	999999
151.07	2.7157	-40.98
151.16	2.7183	-41.07
151.26	2.7208	-41.09
151.37	2.7233	-39.21
151.46	2.7259	-38.34
151.57	2.7284	-40.51
151.69	2.7316	-39.68
151.76	2.7335	-39.6
151.87	2.736	-40.73
151.96	2.7386	999999
152.09	2.7417	-39.11
152.16	2.7436	-38.94
152.26	2.7462	-40.1
152.37	2.7487	-41.55
152.46	2.7512	-39.29
152.57	2.7538	-37.38
152.66	2.7563	-37
152.76	2.7589	-36.99
152.87	2.7614	-37.59
152.96	2.764	-37.61
153.07	2.7666	-38.29
153.16	2.7692	-40.77
153.26	2.7718	-39.81
153.37	2.7743	-39
153.46	2.7769	999999
153.57	2.7795	-41.08
153.66	2.7821	-40.89
153.76	2.7847	-41.45
153.87	2.7873	-41.77
153.96	2.7899	-41.33
154.07	2.7925	-39.32
154.16	2.7951	-40.19
154.24	2.797	-40.84
154.37	2.8002	-39.28
154.46	2.8028	-38.44
154.57	2.8054	-39.19
154.66	2.808	-39.02
154.76	2.8106	-37.41
154.87	2.8132	-37.4
154.96	2.8158	999999
155.07	2.8184	-39.25
155.16	2.8209	-39.26
155.24	2.823	-39.92
155.35	2.8257	-39.6
155.46	2.8287	-39.56
155.57	2.8313	-39.9
155.66	2.8339	-38.53
155.76	2.8365	-37.8
155.96	2.8417	-40.66
156.07	2.8443	-41.33
156.16	2.8468	999999
156.24	2.8487	-41.02
156.37	2.852	-40.1
156.46	2.8546	-40.24
156.57	2.8572	-41.38
156.66	2.8598	999999
156.76	2.8624	-37.18
156.87	2.865	-37.81
156.96	2.8676	-39.05
157.07	2.8701	-41.65
157.16	2.8727	-41.27
157.29	2.8761	999999
157.37	2.8779	-40.43
157.46	2.8805	-41.49
157.57	2.8831	-41.58
157.66	2.8857	-41.06
157.76	2.8883	-39.23
157.87	2.8909	-37.81
157.96	2.8934	-39.62
158.07	2.896	-40.47
158.16	2.8986	999999
158.26	2.9012	-39.28
158.37	2.9038	-40.38
158.46	2.9064	-39.8
158.57	2.9091	-38.92
158.66	2.9117	-40.38
158.76	2.9144	-40.93
158.87	2.917	-39.01
158.96	2.9196	-39.06
159.07	2.9223	-38.71
159.16	2.9249	-38.53
159.24	2.9269	-39.72
159.37	2.9302	-39.74
159.46	2.9329	-39.18
159.57	2.9355	-40.19
159.66	2.938	-39.18
159.76	2.9408	999999
159.87	2.9434	-41.02
159.96	2.9461	-41.24
160.07	2.9487	-42.46
160.14	2.9507	-41.94
160.23	2.9531	-39.04
160.37	2.9567	-39.32
160.46	2.9593	-39.45
160.57	2.9619	-39.62
160.66	2.9646	-40.8
160.76	2.9672	-40.01
160.87	2.9699	-37.92
160.96	2.9725	-38.84
161.07	2.9752	-39.15
161.14	2.9771	-40.01
161.25	2.9801	-41.18
161.37	2.9831	-41.07
161.46	2.9857	-38.94
161.57	2.9884	-38.5
161.66	2.991	-39.76
161.76	2.9937	-39.07
161.87	2.9963	999999
161.96	2.999	-35.44
162.05	3.0012	-36.17
162.14	3.0036	-38.19
162.26	3.0069	-41.54
162.37	3.0095	-42.25
162.46	3.0122	-42.19
162.57	3.0148	-41.37
162.66	3.0175	-39.42
162.76	3.0201	-39.68
162.87	3.0228	-40.51
162.96	3.0254	-38.02
163.07	3.028	-38.09
163.14	3.03	-38.84
163.26	3.0333	-40.4
163.37	3.036	-39.55
163.46	3.0386	-38.62
163.57	3.0413	-38.1
163.66	3.0439	-40.26
163.76	3.0465	-41.36
163.87	3.0492	-39.73
163.95	3.0514	-38.4
164.07	3.0545	-38.51
164.16	3.0572	-38.56
164.26	3.0599	-38.75
164.37	3.0626	-37.75
164.46	3.0653	-38.32
164.57	3.068	-38.52
164.66	3.0707	-40.52
164.76	3.0733	-42.02
164.87	3.076	-39.73
164.96	3.0787	-37.94
165.07	3.0815	999999
165.12	3.0829	-39.03
165.26	3.0868	-40.04
165.37	3.0895	-39.06
165.46	3.0921	-39.96
165.57	3.0948	-39.46
165.66	3.0975	999999
165.76	3.1002	-37.95
165.87	3.1029	-38.2
165.96	3.1056	-38.67
166.07	3.1083	-38.25
166.16	3.1109	-39.45
166.26	3.1136	-40.04
166.37	3.1163	-37.59
166.46	3.119	-37.92
166.57	3.1217	-38.21
166.66	3.1244	-39.21
166.76	3.1271	-40.42
166.87	3.1298	-39.92
166.96	3.1324	-39.29
167.07	3.1351	-41.95
167.16	3.1378	999999
167.26	3.1405	-41.51
167.37	3.1432	-41
167.46	3.1459	-40.44
167.57	3.1486	-38.81
167.66	3.1512	-39.24
167.76	3.1539	-40.92
167.87	3.1566	-40.03
167.96	3.1593	-37.9
168.07	3.162	-38.97
168.16	3.1647	-40.39
168.26	3.1674	-39.77
168.37	3.17	-38.65
168.46	3.1727	-35.56
168.57	3.1754	-36.49
168.66	3.1781	-36.69
168.76	3.1808	-38.49
168.87	3.1835	-39.02
168.96	3.1862	-39.93
169.07	3.1889	-41.44
169.16	3.1915	-41.5
169.26	3.1942	-42.2
169.37	3.1969	-41.12
169.46	3.1996	999999
169.57	3.2024	-39.44
169.66	3.2051	-40.09
169.76	3.2078	-40.75
169.87	3.2106	-39.42
169.96	3.2133	-39.56
170.07	3.2161	-42.05
170.19	3.2195	-39.86
170.26	3.2216	-38.59
170.37	3.2243	-40.42
170.46	3.2271	-40.95
170.57	3.2298	-39.08
170.66	3.2326	-40.6
170.76	3.2353	999999
170.86	3.2379	-37.49
170.96	3.2408	-39.67
171.07	3.2436	-41
171.16	3.2463	-41.6
171.26	3.2491	-40.03
171.37	3.2518	-39.43
171.46	3.2546	-39.66
171.57	3.2573	-38.66
171.66	3.26	-39.45
171.76	3.2628	-39.27
171.87	3.2655	-37.91
171.96	3.2683	-36.38
172.07	3.271	-36.99
172.16	3.2738	-38.73
172.26	3.2765	-39.62
172.37	3.2793	-40.17
172.46	3.282	-40.28
172.55	3.2844	-39.33
172.66	3.2875	-38.84
172.76	3.2903	-38
172.9	3.2938	-39.62
173	3.2967	999999
173.1	3.2995	-40.33
173.16	3.3013	-39.4
173.26	3.304	-40.39
173.37	3.3067	-38.35
173.46	3.3095	-38.89
173.57	3.3122	-39.68
173.66	3.315	-40.13
173.76	3.3177	-40.89
173.87	3.3205	-42.78
173.96	3.3232	-40.95
174.07	3.326	-39.13
174.16	3.3287	-39.57
174.3	3.3324	-39.26
174.37	3.3342	-38.69
174.46	3.337	-41.09
174.57	3.3397	-41.18
174.66	3.3425	-43.43
174.76	3.3452	-43.6
174.87	3.348	-40.39
174.96	3.3507	-39.61
175.07	3.3535	-38.64
175.16	3.3563	999999
175.26	3.3591	-40.32
175.37	3.3619	-40.96
175.46	3.3647	-39.96
175.57	3.3675	-39
175.66	3.3703	-37.63
175.76	3.3731	-38.5
175.87	3.3759	-41.88
175.96	3.3787	-39.59
176.07	3.3815	-37.51
176.16	3.3843	-38.72
176.26	3.3871	-39.97
176.37	3.3899	-39.52
176.46	3.3927	-39.81
176.57	3.3955	-38.33
176.66	3.3983	-38.23
176.76	3.4011	-42.14
176.87	3.4039	999999
176.96	3.4067	-39.88
177.07	3.4095	-39.69
177.16	3.4123	999999
177.26	3.4151	-38.9
177.37	3.4179	-39.69
177.46	3.4207	-40.69
177.57	3.4235	-38.48
177.67	3.4264	-38.56
177.76	3.4291	-40.04
177.87	3.4319	-38.61
177.96	3.4347	-38.01
178.07	3.4375	-38.78
178.16	3.4403	-38.43
178.26	3.4431	-39.22
178.37	3.4459	-41.07
178.49	3.4494	-40.25
178.57	3.4515	-39.36
178.66	3.4543	-39.25
178.76	3.4571	-39.7
178.87	3.4599	-39.67
179.07	3.4655	-40.87
179.16	3.4683	-38.78
179.26	3.4711	-39.94
179.37	3.4739	-40.15
179.46	3.4767	-40.1
179.57	3.4795	-39.12
179.66	3.4823	-38.38
179.76	3.4851	-38.45
179.87	3.4879	-37.51
179.96	3.4907	-36.75
180.07	3.4935	-37.6
180.19	3.497	-39.27
180.26	3.4991	-40.35
180.37	3.5019	-40.2
180.46	3.5047	-39.59
180.57	3.5075	-37.72
180.66	3.5104	-39.29
180.76	3.5132	-39.01
180.87	3.5161	-39.89
180.96	3.519	-39.23
181.07	3.5218	-40.23
181.16	3.5247	-39.41
181.28	3.528	-39.76
181.37	3.5304	-39.27
181.46	3.5332	-38.13
181.57	3.5361	-37.8
181.66	3.5389	-37.31
181.76	3.5418	-38.16
181.87	3.5447	-40.15
181.96	3.5475	-38.94
182.08	3.5508	-38.59
182.16	3.5532	-39.64
182.26	3.5561	-40.29
182.37	3.5589	-39.19
182.46	3.5618	-41.04
182.57	3.5646	-40.08
182.66	3.5675	-39.86
182.76	3.5704	-42.91
182.87	3.5732	-39.83
182.96	3.5761	-37.96
183.07	3.5789	-40.25
183.16	3.5818	-39.6
183.26	3.5846	-39.56
183.37	3.5875	-39.25
183.46	3.5903	-39.9
183.57	3.5932	-39.32
183.66	3.5961	-37.43
183.76	3.5989	-38.93
183.87	3.6018	-39.5
183.96	3.6046	-39.55
184.07	3.6075	-39.95
184.15	3.6099	-40.37
184.26	3.6132	-39.35
184.37	3.616	999999
184.46	3.6189	-38.61
184.55	3.6213	-41.43
184.66	3.6246	-42
184.76	3.6275	-42.41
184.87	3.6303	-41.42
184.96	3.6332	-40.36
185.07	3.636	-38.77
185.16	3.6389	-38.3
185.26	3.6417	-39.49
185.37	3.6446	-39.39
185.48	3.6479	-39.05
185.57	3.6503	-41.04
185.66	3.6532	-39.37
185.76	3.656	-40.18
185.87	3.6589	-40
185.96	3.6617	-41.57
186.07	3.6646	-41.04
186.16	3.6675	-39.98
186.26	3.6704	-39.6
186.37	3.6734	-41.95
186.46	3.6763	-40.35
186.57	3.6792	-38.56
186.66	3.6821	-40.08
186.76	3.685	-40.4
186.87	3.688	-40.62
186.96	3.6909	-40.91
187.07	3.6938	-39.93
187.16	3.6967	999999
187.26	3.6996	-40.79
187.37	3.7026	-40.35
187.46	3.7055	-40.11
187.57	3.7084	-40.78
187.66	3.7113	-40.42
187.76	3.7142	-41.17
187.87	3.7172	-40.72
187.96	3.7201	-39.24
188.07	3.723	-37.87
188.16	3.7259	-38.72
188.26	3.7288	-41.36
188.37	3.7318	-40.13
188.46	3.7344	-40.9
188.57	3.7376	-39.7
188.66	3.7405	-39.36
188.76	3.7434	-38
188.87	3.7464	-38.06
188.96	3.7493	-39.05
189.07	3.7522	-39.71
189.16	3.7551	-38.67
189.26	3.758	-39.16
189.37	3.761	-38.95
189.49	3.7646	-40
189.57	3.7668	-39.36
189.66	3.7697	-39.8
189.76	3.7726	-39.34
189.87	3.7756	-39.19
189.96	3.7785	-39.18
190.07	3.7814	999999
190.26	3.7872	-36.86
190.37	3.7902	-38.74
190.46	3.7931	-39.42
190.57	3.796	-37.92
190.66	3.7989	-39.12
190.76	3.8018	-40.45
190.87	3.8048	-40.15
190.96	3.8077	-37.85
191.07	3.8106	999999
191.16	3.8135	-37.19
191.24	3.8157	-38.53
191.37	3.8194	-41.19
191.46	3.8223	-39.18
191.57	3.8252	-40.58
191.66	3.8282	-40.79
191.76	3.8311	-39.56
191.87	3.8341	-38.66
191.96	3.8371	-39.15
192.07	3.84	-38.17
192.16	3.843	-37.12
192.26	3.846	-38.89
192.37	3.8489	-37.96
192.46	3.8519	-37.31
192.57	3.8549	-38.88
192.66	3.8578	-40.16
192.76	3.8608	-39.98
192.87	3.8638	-38.11
192.96	3.8667	-38.41
193.07	3.8697	-37.76
193.16	3.8727	-38.76
193.26	3.8756	-39.53
193.37	3.8786	-39.89
193.46	3.8815	-38.68
193.57	3.8845	-40.16
193.66	3.8875	-42.06
193.76	3.8904	-41.51
193.87	3.8934	-38.73
193.96	3.8964	-39.33
194.07	3.8993	-40.72
194.16	3.9023	-39.11
194.26	3.9053	-39.49
194.37	3.9082	-39.64
194.46	3.9112	-39.56
194.57	3.9142	-39.96
194.66	3.9171	-40.64
194.76	3.9201	-37.72
194.87	3.9231	999999
194.96	3.926	-38.31
195.05	3.9286	-37.18
195.16	3.932	999999
196.13	3.9606	-40.01
196.26	3.9646	999999
196.37	3.9676	-37.93
196.46	3.9705	-38.8
196.57	3.9735	-40.2
196.66	3.9765	-39.83
196.76	3.9794	-38.84
196.87	3.9824	-40.23
196.96	3.9854	-38.99
197.07	3.9883	-40.1
197.13	3.9903	-38.73
197.26	3.9945	-37.75
197.37	3.9976	-37.88
197.46	4.0008	-38.33
197.57	4.0039	999999
197.66	4.0068	-38.87
197.76	4.0101	-40.39
197.87	4.0132	-40.82
197.96	4.0163	-39.35
198.07	4.0195	-38.36
198.16	4.0226	-39.97
198.26	4.0257	-39.34
198.37	4.0288	-40.78
198.46	4.0319	-41.06
198.57	4.035	-42.46
198.66	4.0382	-41.9
198.76	4.0413	-40.85
198.87	4.0444	-40.9
198.96	4.0475	-41.87
199.07	4.0506	-41.06
199.16	4.0537	-39.53
199.26	4.0568	-40.3
199.34	4.0592	-41.19
199.46	4.0631	-39.02
199.57	4.0662	-37.53
199.66	4.0693	-39.19
199.76	4.0724	-39.17
199.87	4.0755	-38.22
199.96	4.0787	-39.84
200.07	4.0818	-40.55
200.22	4.0866	-33.49
200.4	4.0922	-40.35
200.6	4.0985	999999
200.81	4.105	-39.75
201	4.1109	-40.42
201.2	4.1171	-41.06
201.41	4.1237	-39.64
201.62	4.1302	-40.73
201.8	4.1358	-39.38
202.14	4.1464	-38.37
202.4	4.1545	-39.33
202.6	4.1608	-38.97
202.82	4.1676	-38.74
203	4.1732	-39.96
203.2	4.1794	-40.75
203.4	4.1856	-38.78
203.6	4.1918	-39.37
203.8	4.198	-37.97
204	4.2042	-41.02
204.2	4.2104	-41.43
204.4	4.2166	-39.4
204.6	4.2228	-39.8
204.8	4.2289	-40.61
205	4.2351	-38.31
205.2	4.2413	-40.21
205.4	4.2475	-40.05
205.6	4.2537	-39.11
205.8	4.2599	-40
206	4.2661	-38.46
206.2	4.2723	-38.07
206.4	4.2785	-37.86
206.8	4.2909	-38.64
207	4.2971	-38.84
207.2	4.3033	-39.63
207.4	4.3095	-38.95
207.6	4.3157	-39.18
207.8	4.3219	-39.59
208	4.3281	-38.83
208.2	4.3343	-39.46
208.4	4.3407	-39.32
208.6	4.347	-38.48
208.8	4.3534	-40.58
209	4.3597	-39.1
209.2	4.3661	-38.87
209.42	4.3731	999999
209.6	4.3788	-39.83
209.8	4.3851	-39.54
210	4.3915	-39.68
210.22	4.3984	-41.6
210.4	4.4042	-41.47
210.54	4.4086	-40.3
210.69	4.4134	-40.18
210.89	4.4197	-39.16
211.09	4.4261	-40
211.25	4.4311	-39.38
211.4	4.4359	-40.95
211.6	4.4422	-40.36
211.8	4.4486	-38.65
212	4.4549	-39.59
212.2	4.4613	-39.74
212.4	4.4676	-39.71
212.62	4.4746	-38.69
212.8	4.4803	-36.94
213	4.4867	-37.2
213.2	4.493	-39.11
213.4	4.4994	-38.44
213.6	4.5057	-39.14
213.8	4.5123	-39.51
214	4.5189	-39.94
214.2	4.5255	-40.05
214.4	4.5321	999999
214.6	4.5387	-39.39
214.8	4.5454	-41.76
215	4.552	-39.98
215.2	4.5586	-37.49
215.4	4.5652	-38.96
215.6	4.5719	-39.89
215.8	4.5785	-40.04
216	4.5851	-39.61
216.2	4.5917	-38.88
216.4	4.5984	-37.76
216.6	4.605	-40.35
216.8	4.6116	-40.84
217	4.6182	-38.13
217.2	4.6249	999999
218.13	4.6557	-39.3
218.2	4.658	-40.27
218.4	4.6646	-39.53
218.6	4.6712	-39.02
218.8	4.6778	-37.8
219.03	4.6855	999999
219.4	4.6976	-39.79
219.6	4.7042	-38.78
219.8	4.7107	-38.76
220	4.7172	-38.12
220.22	4.7244	-39.9
220.4	4.7303	-38.81
220.6	4.7368	-38.77
220.8	4.7434	-39.57
221	4.7499	-40.43
221.2	4.7564	-39.29
221.4	4.763	-39.09
221.6	4.7695	-40.27
221.8	4.776	-41.16
222	4.7826	-39.98
222.2	4.7891	-41.81
222.4	4.7956	-41.41
222.6	4.8022	-41.3
222.8	4.8087	-40.4
223.08	4.8178	-40.42
223.2	4.8218	-41.02
223.4	4.8283	-38.73
223.6	4.8348	-39.05
223.8	4.8414	-39.77
224	4.8479	-38.12
224.2	4.8544	-38.48
224.4	4.861	-39.54
224.6	4.8675	-38.98
224.8	4.8741	-39.62
225	4.8809	-38.23
225.2	4.8877	-39.06
225.4	4.8945	-39.83
225.6	4.9012	-39.78
225.8	4.908	-38.57
226	4.9148	-39.04
226.2	4.9216	-39.92
226.4	4.9283	-40.81
226.6	4.9351	-39.72
226.8	4.9419	-40.03
227	4.9487	-40.92
227.2	4.9554	-40
227.4	4.9622	-39.19
227.6	4.969	-39.32
227.8	4.9758	-39.95
228	4.9826	-39.91
228.2	4.9893	-41.04
228.4	4.9961	-39.4
228.6	5.0029	-40
228.8	5.0097	-40
229	5.0164	-41.78
229.2	5.0232	-38.67
229.4	5.03	-39.9
229.6	5.0368	-37.15
229.8	5.0435	-38.92
230	5.0503	-39.09
230.22	5.0578	-38.71
230.4	5.0641	-39.16
230.6	5.0711	-39.11
230.8	5.0781	-40.93
231	5.0851	-39.37
231.2	5.0921	-38.67
231.4	5.0991	-40.93
231.6	5.1061	-40.61
231.8	5.1131	-39.51
232	5.1202	-38.28
232.2	5.1272	-39.33
232.4	5.1342	-40.12
232.6	5.1412	-39.27
232.8	5.1482	-40.95
233	5.1552	-39.17
233.2	5.1622	-38.66
233.4	5.1692	-38.52
233.6	5.1763	-38.69
233.8	5.1833	999999
234.28	5.2001	-39.86
234.4	5.2043	-39.34
234.6	5.2113	999999
235	5.2253	-39.45
235.25	5.2341	-39.05
235.4	5.2394	-37.87
235.6	5.2464	-39.09
235.8	5.2534	-39.9
236	5.2606	-40.19
236.2	5.2677	-39.66
236.4	5.2749	-39.7
236.6	5.282	-39.73
236.8	5.2892	-40.05
237	5.2963	-39.59
237.2	5.3035	-38.28
237.4	5.3107	-38.9
237.6	5.3178	-38.14
237.8	5.325	-39.58
238	5.3321	-39.65
238.2	5.3393	-39.67
238.4	5.3464	-38.64
238.6	5.3536	-38.57
238.8	5.3607	-39.31
239	5.3679	-39
239.23	5.3761	-39.95
239.4	5.3822	-39.09
239.6	5.3894	-39.75
239.8	5.3965	-39.57
240	5.4037	-39.94
240.23	5.4119	-37.76
240.47	5.4205	-38.84
240.6	5.4252	-37.01
240.8	5.4323	-36.67
241	5.4395	-39.53
241.2	5.4466	-38.65
241.4	5.4539	-39.73
241.6	5.4612	999999
241.8	5.4686	-40.74
242	5.4759	-39.6
242.2	5.4833	-40.45
242.4	5.4906	-39.55
242.6	5.498	-37.38
242.8	5.5053	-38.95
243	5.5126	-39.74
243.2	5.52	-39.85
243.4	5.5273	-38.7
243.6	5.5347	-39.48
243.8	5.542	-40.33
244	5.5494	-40.75
244.2	5.5567	-39.14
244.4	5.5641	-37.64
244.6	5.5714	999999
244.8	5.5788	-38.9
245	5.5861	-38.53
245.2	5.5935	-41.84
245.4	5.6008	-40.26
245.6	5.6081	-40.22
245.8	5.6155	-38.45
246	5.6228	-39.63
246.2	5.6302	-38.83
246.4	5.6375	-38.7
246.6	5.6449	-37.05
246.8	5.6522	-37.23
247	5.6598	-39.96
247.2	5.6673	-40.54
247.4	5.6749	-39.02
247.6	5.6824	-37.11
247.8	5.69	-39
248	5.6976	-38.44
248.2	5.7051	999999
248.4	5.7127	-38.79
248.6	5.7202	999999
248.8	5.7278	-37.74
249	5.7354	-37.47
249.2	5.7429	-37.71
249.4	5.7505	-37.76
249.6	5.758	-37.84
249.8	5.7656	-38.61
250	5.7732	-39.83
250.23	5.7818	-39.93
250.4	5.7883	-38.88
250.6	5.7958	999999
250.8	5.8034	-37.83
251	5.811	-39.03
251.2	5.8185	999999
251.4	5.8261	-38.32
251.6	5.8336	-39.14
251.8	5.8412	-38.94
252	5.8488	-38.67
252.2	5.8563	-38.73
252.4	5.8639	-38.11
252.6	5.8717	-37.5
252.8	5.8794	-40.76
253	5.8872	-38.08
253.2	5.895	-37.92
253.4	5.9027	-38.83
253.6	5.9105	-40
253.8	5.9182	-40.47
254	5.926	-38.26
254.2	5.9338	-38.7
254.4	5.9415	-38.3
254.6	5.9493	-38.89
254.8	5.957	-39.38
255	5.9648	-39.57
255.2	5.9725	-37.82
255.4	5.9803	-37.94
255.6	5.9881	-39.25
255.78	5.995	-38.19
256	6.0036	-38.85
256.2	6.0113	-39.32
256.4	6.0191	999999
256.6	6.0269	-37.8
256.8	6.0346	999999
257.15	6.0482	-39.41
257.25	6.0521	-38.64
257.4	6.0579	-37.91
257.6	6.0657	-37.61
257.8	6.0734	-39.82
258	6.0813	-38.47
258.2	6.0893	-37.4
258.4	6.0973	-38.25
258.6	6.1053	-41.1
258.8	6.1133	-39.19
259	6.1214	-38.96
259.2	6.1294	-37.66
259.4	6.1374	-37.76
259.6	6.1454	-38.87
259.8	6.1534	-39.69
260	6.1614	-38.82
260.2	6.1694	999999
261.9	6.2375	-40.27
262.1	6.2455	-38.8
262.3	6.2535	-37.79
262.49	6.2611	-39.16
262.65	6.2675	-38.81
262.8	6.2735	-38.29
263	6.2815	-38.87
263.2	6.2895	-37.64
263.4	6.2975	-38.31
263.6	6.3057	-38.42
263.8	6.314	-39.88
264	6.3223	-40.4
264.2	6.3305	-36.66
264.4	6.3388	-38.27
264.6	6.347	-40.47
264.8	6.3553	-37.81
265	6.3635	-39.57
265.2	6.3718	-38.16
265.4	6.38	-39.84
265.6	6.3883	-37.75
265.8	6.3965	-38.69
266	6.4048	-39
266.2	6.413	-37.89
266.4	6.4213	-39.13
266.6	6.4295	-38.44
266.8	6.4378	-38.49
267	6.446	-37.05
267.2	6.4543	-38.11
267.4	6.4625	-39.03
267.6	6.4708	-38.53
267.8	6.479	-38.84
268	6.4873	-38.64
268.24	6.4972	-39.31
268.4	6.5038	-38.87
268.6	6.5121	999999
268.8	6.5203	-39.2
269	6.5286	-37.94
269.2	6.5371	-39.08
269.4	6.5456	-37.44
269.6	6.5541	-38.41
269.8	6.5626	-38.81
270.01	6.5716	-39.19
270.2	6.5796	-39.13
270.4	6.5881	-37.81
270.6	6.5966	-40.32
270.8	6.6051	-39.27
271	6.6136	-39.83
271.2	6.6222	-37.44
271.8	6.6477	999999
272	6.6562	-38.05
272.2	6.6647	-38.02
272.4	6.6732	-38.87
272.6	6.6817	-38.19
272.8	6.6902	-38.36
273	6.6987	-40.09
273.2	6.7072	-38.69
273.4	6.7157	-38.44
273.6	6.7242	-38.75
273.8	6.7327	-37.66
274	6.7412	-38.6
274.15	6.7476	-37.71
274.4	6.7582	-38.73
274.6	6.7669	-38.22
274.8	6.7757	-37.33
275	6.7845	-40.12
275.2	6.7934	-38.71
275.4	6.8022	-37.72
275.6	6.811	-38.47
275.8	6.8199	-38.96
276	6.8287	-39.15
